ID,Date,Source,Likes,Sentiments,department
987430696590434000,4/20/2018 20:39,Twitter Web Client,3,-1,detroitpolice
986631587931525000,4/18/2018 15:44,Twitter for iPhone,0,1,detroitpolice
986605143482396000,4/18/2018 13:59,Twitter for iPhone,1,-1,detroitpolice
986430249536811000,4/18/2018 2:24,Twitter for iPhone,0,1,detroitpolice
986427647608655000,4/18/2018 2:14,Twitter for iPhone,15,0,detroitpolice
986427375306067000,4/18/2018 2:13,Twitter for iPhone,16,0,detroitpolice
986214139180781000,4/17/2018 12:05,Twitter Web Client,0,-1,detroitpolice
986213940580544000,4/17/2018 12:05,Twitter Web Client,0,-1,detroitpolice
985943639770746000,4/16/2018 18:10,Twitter Web Client,11,0,detroitpolice
985843439878266000,4/16/2018 11:32,Twitter Web Client,0,-1,detroitpolice
984852746041004000,4/13/2018 17:56,Twitter Web Client,8,0,detroitpolice
984852745000837000,4/13/2018 17:56,Twitter Web Client,15,1,detroitpolice
984518155161628000,4/12/2018 19:46,Twitter for iPhone,8,1,detroitpolice
984437171925987000,4/12/2018 14:24,Twitter Web Client,8,0,detroitpolice
984423377451520000,4/12/2018 13:29,Twitter Web Client,0,1,detroitpolice
984148000216879000,4/11/2018 19:15,Twitter for iPhone,6,0,detroitpolice
984132560862277000,4/11/2018 18:14,Twitter Web Client,0,0,detroitpolice
983359529705451000,4/9/2018 15:02,Twitter Web Client,0,-1,detroitpolice
983350728419889000,4/9/2018 14:27,Twitter Web Client,16,0,detroitpolice
983316083624103000,4/9/2018 12:09,Twitter for iPhone,3,1,detroitpolice
983179198398451000,4/9/2018 3:06,Twitter for Android,27,-1,detroitpolice
982220147032141000,4/6/2018 11:35,Twitter for iPhone,16,-1,detroitpolice
981938845162844000,4/5/2018 16:57,Twitter for iPhone,13,0,detroitpolice
981936698476068000,4/5/2018 16:48,Twitter for iPhone,15,0,detroitpolice
981935444962234000,4/5/2018 16:43,Twitter for iPhone,10,0,detroitpolice
981934509955444000,4/5/2018 16:40,Twitter for iPhone,28,-1,detroitpolice
981559594710335000,4/4/2018 15:50,Twitter for iPhone,0,0,detroitpolice
981510438037999000,4/4/2018 12:34,Twitter for iPhone,0,0,detroitpolice
981188902563340000,4/3/2018 15:17,Twitter Web Client,10,1,detroitpolice
979416931265601000,3/29/2018 17:56,Twitter for iPhone,0,1,detroitpolice
979393967522570000,3/29/2018 16:24,Twitter for iPhone,0,-1,detroitpolice
979323795889586000,3/29/2018 11:46,Twitter for iPhone,0,-1,detroitpolice
979145103251034000,3/28/2018 23:55,Twitter for iPhone,21,1,detroitpolice
979011032625672000,3/28/2018 15:03,Twitter for iPhone,0,0,detroitpolice
978978638937935000,3/28/2018 12:54,Twitter Web Client,12,0,detroitpolice
978978637486665000,3/28/2018 12:54,Twitter Web Client,10,0,detroitpolice
978660042303000000,3/27/2018 15:48,Twitter Web Client,8,0,detroitpolice
978593867871195000,3/27/2018 11:25,Twitter for iPhone,1,0,detroitpolice
978588455671386000,3/27/2018 11:04,Twitter for iPhone,0,1,detroitpolice
978587443569061000,3/27/2018 11:00,Twitter for iPhone,0,0,detroitpolice
978356564770918000,3/26/2018 19:42,Twitter for iPhone,16,0,detroitpolice
978287172926234000,3/26/2018 15:06,Twitter for iPhone,0,1,detroitpolice
977199531505922000,3/23/2018 15:04,Twitter for iPhone,21,1,detroitpolice
977165865404727000,3/23/2018 12:51,Twitter for iPhone,5,0,detroitpolice
977164387155873000,3/23/2018 12:45,Twitter for iPhone,0,0,detroitpolice
976912096289021000,3/22/2018 20:02,Twitter Web Client,18,-1,detroitpolice
976903116892393000,3/22/2018 19:27,Twitter for iPhone,0,0,detroitpolice
976899881100107000,3/22/2018 19:14,Twitter for iPhone,9,1,detroitpolice
976897642025439000,3/22/2018 19:05,Twitter for iPhone,3,1,detroitpolice
976891285318627000,3/22/2018 18:40,Twitter for iPhone,7,0,detroitpolice
976890297035706000,3/22/2018 18:36,Twitter for iPhone,6,1,detroitpolice
976889692250615000,3/22/2018 18:33,Twitter for iPhone,13,-1,detroitpolice
976889522184249000,3/22/2018 18:33,Twitter for iPhone,9,1,detroitpolice
976888764734812000,3/22/2018 18:30,Twitter for iPhone,5,0,detroitpolice
976531836104007000,3/21/2018 18:51,Twitter Web Client,18,1,detroitpolice
976124073653751000,3/20/2018 15:51,Twitter for iPhone,7,1,detroitpolice
976110101949018000,3/20/2018 14:55,Twitter Web Client,0,1,detroitpolice
975735102549516000,3/19/2018 14:05,Twitter Web Client,7,1,detroitpolice
975497957289218000,3/18/2018 22:23,Google,7,0,detroitpolice
974799100251115000,3/17/2018 0:06,Twitter for iPhone,0,0,detroitpolice
974747021302255000,3/16/2018 20:39,Twitter Web Client,17,1,detroitpolice
974638500938240000,3/16/2018 13:28,Twitter Web Client,0,-1,detroitpolice
974065738016313000,3/14/2018 23:32,Twitter for iPhone,0,1,detroitpolice
973944260973211000,3/14/2018 15:29,Twitter Web Client,6,0,detroitpolice
973944258871857000,3/14/2018 15:29,Twitter Web Client,58,0,detroitpolice
973939978991489000,3/14/2018 15:12,Twitter Web Client,0,0,detroitpolice
973735461226270000,3/14/2018 1:39,Twitter for iPhone,0,1,detroitpolice
973657171572477000,3/13/2018 20:28,Twitter Web Client,11,-1,detroitpolice
973564720895725000,3/13/2018 14:21,Twitter for iPhone,25,0,detroitpolice
973273915144441000,3/12/2018 19:05,Twitter for iPhone,12,1,detroitpolice
973190305028689000,3/12/2018 13:33,Twitter for iPhone,0,0,detroitpolice
972553253098487000,3/10/2018 19:22,Twitter for iPhone,12,1,detroitpolice
972528744291274000,3/10/2018 17:44,Twitter for iPhone,6,1,detroitpolice
972495695088406000,3/10/2018 15:33,Twitter for iPhone,4,-1,detroitpolice
972144252716240000,3/9/2018 16:17,Twitter for iPhone,384,1,detroitpolice
972123399131713000,3/9/2018 14:54,Twitter for iPhone,13,1,detroitpolice
971830408756256000,3/8/2018 19:29,Twitter Web Client,3,0,detroitpolice
971830133123440000,3/8/2018 19:28,Twitter Web Client,7,1,detroitpolice
971828471428153000,3/8/2018 19:22,Twitter for iPhone,0,1,detroitpolice
971447750196973000,3/7/2018 18:09,Twitter for iPhone,0,0,detroitpolice
971223881393623000,3/7/2018 3:19,Twitter for iPhone,0,0,detroitpolice
971223841014976000,3/7/2018 3:19,Twitter for iPhone,0,1,detroitpolice
971223769024000000,3/7/2018 3:19,Twitter for iPhone,0,1,detroitpolice
971223712610639000,3/7/2018 3:19,Twitter for iPhone,22,-1,detroitpolice
971122389722501000,3/6/2018 20:36,Twitter Web Client,10,0,detroitpolice
971077751615737000,3/6/2018 17:39,Twitter Web Client,0,0,detroitpolice
970743243796303000,3/5/2018 19:29,Twitter Web Client,8,1,detroitpolice
969284829945716000,3/1/2018 18:54,Twitter Web Client,2,1,detroitpolice
969266679095185000,3/1/2018 17:42,Twitter for Android,8,0,detroitpolice
969215517096599000,3/1/2018 14:19,Twitter for Android,2,0,detroitpolice
968952617081720000,2/28/2018 20:54,Twitter for iPhone,0,1,detroitpolice
968939372304322000,2/28/2018 20:02,Twitter for iPhone,9,0,detroitpolice
968939035795345000,2/28/2018 20:00,Twitter for iPhone,84,1,detroitpolice
968908147384619000,2/28/2018 17:57,Twitter for iPhone,6,-1,detroitpolice
968901122772652000,2/28/2018 17:30,Twitter for iPhone,9,0,detroitpolice
968895998364913000,2/28/2018 17:09,Twitter for iPhone,6,1,detroitpolice
968890424688566000,2/28/2018 16:47,Twitter for iPhone,4,0,detroitpolice
968889484581441000,2/28/2018 16:43,Twitter for iPhone,5,0,detroitpolice
968886836142706000,2/28/2018 16:33,Twitter for iPhone,11,-1,detroitpolice
968266185321132000,2/26/2018 23:27,Twitter for iPhone,11,-1,detroitpolice
967146507869749000,2/23/2018 21:17,Twitter for Android,6,0,detroitpolice
966870715080298000,2/23/2018 3:01,Twitter for iPhone,41,-1,detroitpolice
966702946221281000,2/22/2018 15:55,Twitter Web Client,32,1,detroitpolice
966698527370903000,2/22/2018 15:37,Twitter Web Client,0,-1,detroitpolice
966681525445124000,2/22/2018 14:30,Twitter Web Client,6,0,detroitpolice
966405515231354000,2/21/2018 20:13,Google,10,1,detroitpolice
966395704670343000,2/21/2018 19:34,Twitter Web Client,18,1,detroitpolice
966349014714257000,2/21/2018 16:28,Twitter for iPhone,6,0,detroitpolice
966120499062468000,2/21/2018 1:20,Twitter for iPhone,7,1,detroitpolice
965993591754645000,2/20/2018 16:56,Twitter for iPhone,13,0,detroitpolice
965984982106886000,2/20/2018 16:22,Twitter for iPhone,14,0,detroitpolice
965980062184034000,2/20/2018 16:02,Twitter for iPhone,19,1,detroitpolice
965592436402806000,2/19/2018 14:22,Twitter Web Client,24,0,detroitpolice
964550687584636000,2/16/2018 17:22,Twitter Web Client,26,0,detroitpolice
964229832224755000,2/15/2018 20:08,Twitter for iPhone,118,0,detroitpolice
963883673681612000,2/14/2018 21:12,Twitter for iPhone,3,1,detroitpolice
963869133745147000,2/14/2018 20:14,Twitter for iPhone,0,0,detroitpolice
963845949079646000,2/14/2018 18:42,Twitter Web Client,9,1,detroitpolice
963845948140027000,2/14/2018 18:42,Twitter Web Client,14,1,detroitpolice
963845946915414000,2/14/2018 18:42,Twitter Web Client,5,1,detroitpolice
963845945199915000,2/14/2018 18:42,Twitter Web Client,5,0,detroitpolice
963845943694188000,2/14/2018 18:42,Twitter Web Client,35,1,detroitpolice
963761451344302000,2/14/2018 13:06,Twitter for Android,9,1,detroitpolice
962357618063953000,2/10/2018 16:08,Twitter for Android,0,0,detroitpolice
962357598002532000,2/10/2018 16:08,Twitter for Android,0,-1,detroitpolice
962357318561255000,2/10/2018 16:07,Twitter for Android,0,1,detroitpolice
962066513527160000,2/9/2018 20:51,Twitter for iPhone,32,1,detroitpolice
962005193175973000,2/9/2018 16:48,Twitter for Android,11,0,detroitpolice
961990803009818000,2/9/2018 15:50,Twitter for iPhone,87,0,detroitpolice
961896065485148000,2/9/2018 9:34,Twitter for Android,7,1,detroitpolice
961785330214072000,2/9/2018 2:14,Twitter for Android,9,0,detroitpolice
961267274060529000,2/7/2018 15:55,Twitter Web Client,16,0,detroitpolice
960736293540986000,2/6/2018 4:45,Twitter for Android,73,0,detroitpolice
960589337208524000,2/5/2018 19:01,Twitter Web Client,6,0,detroitpolice
959946104115793000,2/4/2018 0:26,Twitter Web Client,60,-1,detroitpolice
959139621702656000,2/1/2018 19:01,Twitter Web Client,59,0,detroitpolice
959087957020995000,2/1/2018 15:36,Twitter Web Client,20,0,detroitpolice
958763920055029000,1/31/2018 18:08,Twitter for iPhone,0,0,detroitpolice
958745784727556000,1/31/2018 16:56,Twitter for iPhone,4,0,detroitpolice
958735924384485000,1/31/2018 16:17,Twitter for iPhone,4,0,detroitpolice
958734896482193000,1/31/2018 16:13,Twitter for iPhone,4,0,detroitpolice
